symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,40,0.015,0.015,24,True,-46.08725038121692,53,False,-39.81154809466323,0.5,22,-0.09256464997183005,-0.005085332575824891,-52.362952667770614,0.4838709677419355,31,-0.1802256025410499,-0.005471447392689296
KRW-BTC,20,2.0,15,20,40,0.015,0.015,24,False,-30.720409212112095,53,False,-31.41264047714874,0.4090909090909091,22,-0.08891944953104912,-0.00456930940599743,-30.028177947075452,0.41935483870967744,31,-0.15961920374920036,-0.003978864212619952
KRW-BTC,20,2.0,15,20,40,0.02,0.008,12,True,-46.823547281457195,55,False,-24.736814622810417,0.43478260869565216,23,-0.05534891738502485,-0.0024139491609086183,-68.91027994010398,0.3125,32,-0.1434561212317906,-0.004448551956464313
KRW-BTC,20,2.0,15,20,40,0.02,0.008,12,False,-24.928406449107236,55,False,-14.263959419191668,0.34782608695652173,23,-0.06084978872658652,-0.0016958558469557818,-35.5928534790228,0.28125,32,-0.11284168965393664,-0.0031598753558184085
KRW-BTC,20,2.0,15,20,40,0.02,0.008,24,True,-43.61948410974914,55,False,-25.343780540263857,0.43478260869565216,23,-0.05534891738502485,-0.00246232501512623,-61.89518767923442,0.34375,32,-0.13911689117569495,-0.004288556029113349
KRW-BTC,20,2.0,15,20,40,0.02,0.008,24,False,-30.559678096588303,54,False,-10.861038088820917,0.34782608695652173,23,-0.0652705774693259,-0.001367976195463255,-50.25831810435569,0.22580645161290322,31,-0.15665048083888986,-0.004686854264072961
KRW-BTC,20,2.0,15,20,40,0.02,0.01,12,True,-53.68816862792807,55,False,-33.09656370547256,0.43478260869565216,23,-0.07308201694955738,-0.0035426882913434194,-74.27977355038358,0.3125,32,-0.17234470599538818,-0.005509458206464316
KRW-BTC,20,2.0,15,20,40,0.02,0.01,12,False,-32.98571328055293,55,False,-22.730207421726732,0.34782608695652173,23,-0.07589091450180328,-0.0029114210643471023,-43.241219139379126,0.28125,32,-0.14276280482671552,-0.004220781605818412
KRW-BTC,20,2.0,15,20,40,0.02,0.01,24,True,-51.280117561671105,55,False,-33.68975368904578,0.43478260869565216,23,-0.07410753231893898,-0.003591064145561032,-68.87048143429644,0.34375,32,-0.17150267002975964,-0.005474274779113355
KRW-BTC,20,2.0,15,20,40,0.02,0.01,24,False,-37.781576208394064,54,False,-19.695943416856068,0.34782608695652173,23,-0.08209525434460065,-0.0026703674998110947,-55.86720899993206,0.22580645161290322,31,-0.181011542980379,-0.005621195466814118
KRW-BTC,20,2.0,15,20,40,0.02,0.015,12,True,-55.46177058502218,53,False,-47.850367546829126,0.45454545454545453,22,-0.10484422480457502,-0.005710376746086574,-63.073173623215226,0.3870967741935484,31,-0.18171193136036604,-0.006036252014844286
KRW-BTC,20,2.0,15,20,40,0.02,0.015,12,False,-33.20393915953242,53,False,-35.670715955657336,0.36363636363636365,22,-0.10221662141115337,-0.005126838652529592,-30.7371623634075,0.3548387096774194,31,-0.13411028062299826,-0.0038730097316520733
KRW-BTC,20,2.0,15,20,40,0.02,0.015,24,True,-48.96029610603078,53,False,-45.55763954429095,0.5,22,-0.1022830993125651,-0.005577936011205561,-52.362952667770614,0.4838709677419355,31,-0.1802256025410499,-0.005471447392689296
