symbol,bb_period,bb_std,vol_mult,max_hold,bb_exit_mid,adx_ceil,rsi_floor,rsi_ceil,tp,sl,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.02,0.01,-19.549716734200572,32,False,-11.980047815014117,0.25,8,-0.045154610977047795,-0.003996249999999943,-27.119385653387024,0.16666666666666666,24,-0.17365471472668909,-0.00702376020021839
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.02,0.015,-17.587350454952745,31,False,-3.372550278800421,0.42857142857142855,7,-0.016477500000000134,-0.0014999999999999816,-31.80215063110507,0.20833333333333334,24,-0.22927022665330002,-0.009963412244786616
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.02,0.02,-18.20522859359675,31,False,-8.56346731148176,0.42857142857142855,7,-0.02810596503623785,-0.004352857142857092,-27.84698987571174,0.2916666666666667,24,-0.25840115505137295,-0.010752660722202004
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.03,0.01,-13.170104769423052,32,False,-3.372550278800324,0.25,8,-0.045154610977047704,-0.0014999999999999384,-22.967659260045778,0.16666666666666666,24,-0.17055510407522526,-0.00660280132335996
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.03,0.015,-12.224042109267298,31,False,3.647369269783742,0.42857142857142855,7,-0.016477500000000152,0.002008304599716307,-28.095453488318338,0.20833333333333334,24,-0.22637922907947683,-0.009542453367928186
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.03,0.02,-13.338535567516988,31,False,-1.3755311972587927,0.42857142857142855,7,-0.021470000000000017,-0.0008445525431408041,-25.301539937775186,0.2916666666666667,24,-0.255619427219338,-0.010331701845343573
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.04,0.01,-11.479745703363578,32,False,0.008167853318620563,0.25,8,-0.045154610977047836,4.200785265712041e-06,-22.967659260045778,0.16666666666666666,24,-0.17055510407522526,-0.00660280132335996
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.04,0.015,-10.988700235441536,31,False,6.118053017435266,0.42857142857142855,7,-0.016477500000000166,0.0037273912114484794,-28.095453488318338,0.20833333333333334,24,-0.22637922907947683,-0.009542453367928186
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.04,0.02,-11.99998689649459,31,False,1.301566144786004,0.42857142857142855,7,-0.021470000000000013,0.0008745340685913679,-25.301539937775186,0.2916666666666667,24,-0.255619427219338,-0.010331701845343573
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.05,0.01,-10.402275252279729,32,False,2.16310875548632,0.25,8,-0.04515461097704764,0.0012523257852657265,-22.967659260045778,0.16666666666666666,24,-0.17055510407522526,-0.00660280132335996
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.05,0.015,-10.183687257690714,31,False,7.7280789729369115,0.42857142857142855,7,-0.01647750000000004,0.005153819782877066,-28.095453488318338,0.20833333333333334,24,-0.22637922907947683,-0.009542453367928186
